,text
815,gallery: what does public service mean to #federal employees? #psrw http://fedtimes.ly/26uaklq 
816,how private internets of things could secure critical infrastructure http://fedtim.es/8k6vha 
817,what does public service mean to federal employees? http://fedtim.es/8k6p2v 
818,opm morphs redi plan into hiring excellence http://fedtim.es/8k688g 
819,#opm may be moving on from the redi roadmap ... at least in name. #psrw http://fedtimes.ly/1synufh 
820,gsa stakes claim on tech innovation with new business line http://fedtim.es/8k3sb9 
821,cbp needs to know when drones are in the sky http://fedtim.es/8k3iym 
822,biding your time in portfolio management http://fedtim.es/8k3bh5 
823,know a person/program that exemplifies innovation in technology/acquisition? #vanguardawards http://bit.ly/vanguardawards pic.twitter.com/eixusbdlzo
824,dhs pitches silicon valley: innovate with us http://fedtim.es/8k3s75 
825,new dha mandate routes all it buys through gsa http://fedtim.es/8k1wu2 
826,whose name should grace the new #fbi headquarters building? let us know what you think in our new poll: http://ec.militarytimes.com/polls/fed-fbi-building/ …
827,"the mission of feds may have grown more complex in 2016, but its importance to the populace remains:  http://fedtimes.ly/26lbo5i  #psrw"
828,nist names at&t vp to chair privacy board http://fedtim.es/8k0rm9 
829,a new head of the information security and privacy advisory board has been named: http://fedtimes.ly/1tftjve 
830,"happy public service recognition week to #government employees across federal, state, county and local governments! #psrw"
831,new va reform bill faces an uphill battle on multiple fronts http://fedtim.es/8jw8fr 
832,"we're looking for feds who implement change not for regulation sake, but for potential of return #vanguardawards http://bit.ly/vanguardawards "
833,"lawmakers want to know what makes federal employees happy, and what makes them miserable: http://fedtimes.ly/26ybdat "
834,what makes federal employees happier? http://fedtim.es/8jteoj 
835,va reform bill would make it easier to fire employees http://fedtim.es/8jt009 
836,this #va reform bill would make it easier to fire employees: http://fedtimes.ly/26xhump 
837,congress investigating october fdic data breach http://fedtim.es/8jsqh7 
838,senators want timeline on update to omb’s main it policy http://fedtim.es/8jqvhc 
839,"coast guard needs an aerial drone fleet now, lawmaker says http://fedtim.es/8jqftl "
840,"do you know of any recent, transformative federal programs? nominate them #vanguardawards http://bit.ly/vanguardawards pic.twitter.com/cjaavok5dh"
841,2016 igniting innovation awards http://fedtim.es/8jqx3v 
842,"verizon breach report shows public, health sectors face similar threats http://fedtim.es/8jonsp "
843,omb working on bimodal it management policy http://fedtim.es/8jotin 
844,gao: agencies need to collaborate to prevent emp threat http://fedtim.es/8jocfh 
845,secure networks critical to maintaining dod tech edge http://fedtim.es/8jo38m 
846,trane awarded $114m gsa contract for new york facilities http://fedtim.es/8jmghe 
847,what should the fbi call its new headquarters? http://fedtim.es/8jllma 
848,your contributions are significant. time for some well-deserved recognition #vanguardawards http://bit.ly/vanguardawards pic.twitter.com/6ylk9w1mov
849,u.s. supreme court: market focus by deltek http://fedtim.es/8jlu2f 
850,agencies can't succeed w/o talented employees. help us spotlight unsung feds #vanguardawards http://bit.ly/vanguardawards pic.twitter.com/mubda7jawv
851,"clapper, sea spotlight presidential rank award winners http://fedtim.es/8jgdk1 "
852,gsa clears up confusion around alliant 2 rfp http://fedtim.es/8jgwae 
853,retired fed spied on colleagues using manager's login http://fedtim.es/8jgcae 
854,japan-based marine supply unit wins defense department innovation award http://fedtim.es/8jg42k 
855,"senate, house debut great act to cut federal waste http://fedtim.es/8jed4d "
856,"new air force policy sets roles for cyber offense, defense ops http://fedtim.es/8jdy0k "
857,library of congress needs tech-savvy feds for speaker series http://fedtim.es/8jdiv3 
858,know an exec who demonstrates leadership that drives change? nominate them #vanguardawards http://bit.ly/vanguardawards pic.twitter.com/waybadwan0
859,#congress mulls the question: how easy should it be to fire a fed? http://fedtimes.ly/1sn5509 
860,. waited months to report a major october #databreach http://fedtimes.ly/1wedts9 
861,disa chief: the cyber threat is here and now http://fedtim.es/8jbyd6 
862,senate seeking sources for cyber support services http://fedtim.es/8jbs8i 
863,"understaffing, outdated radios compounded white house gate jumper breach http://fedtim.es/8jbwc3 "
864,fdic waited months to report major october data breach http://fedtim.es/8jbnmw 
865,"after a two-year wait, va gets a new top watchdog http://fedtim.es/8jbeyr "
866,dod taking multi-pronged mobility approach http://fedtim.es/8jzxyl 
867,"va health care reforms are underway, leaders tell panel http://fedtim.es/8jzr1k "
868,how to prevent the customer 'doom loop' in management http://fedtim.es/8jywwk 
869,know an exec who pushes the envelope to improve their agency? nominate them #vanguardawards http://bit.ly/vanguardawards pic.twitter.com/nfztqvkolx
870,how the internet of things could transform homeland security http://fedtim.es/8jyndp 
871,homeland security and the internet of things http://fedtim.es/8jydph 
872,federal times to honor big thinkers in government http://fedtim.es/8jwhsb 
873,nice strategic plan lays path for training cyber workforce http://fedtim.es/8jwtih 
874,"sick leave rule is too broad, too punitive, psc says http://fedtim.es/8jwn5t "
875, is transforming its it infrastructure and wants to know what industry can do to help. http://fedtimes.ly/1nigzoe 
876,how easy should it be to fire a fed? http://fedtim.es/8jw51p 
877,how easy should it be to fire a fed? http://fedtim.es/8jw2h3 
878,meet the judges http://fedtim.es/8jv5bf 
879,phased retirement clarity from . http://bit.ly/1qxqsux 
880,i spent that weekend watching top chef ...  poor guy endedon the wrong end of a water obstacle at training 
881,sequestration fears return.#budget #sequester http://bit.ly/xflkof 
882,"bergdahl swap violated antideficiency act, says gao. http://bit.ly/vkhems pic.twitter.com/c5qiiftjn4"
883,. mulls contract consolidation as sequester specter looms. http://bit.ly/vjizqw 
884,gao: bergdahl release violated antideficiency act http://dlvr.it/6h24jh 
885, feel free to make your comments known here too http://www.federaltimes.com/article/20140820/mgmt01/308200010/postal-service-workers-comp-costs-rise-headcount-falls …
886,postal service workers' comp costs rise as headcount falls - and the disgussion is fierce! join it at http://www.federaltimes.com/article/20140820/mgmt01/308200010/postal-service-workers-comp-costs-rise-headcount-falls …
887,gao: dod prisoner release for bergdahl violated antideficiency act http://www.federaltimes.com/article/20140821/mgmt/308210008/gao-dod-prisoner-release-bergdahl-violated-antideficiency-act …
888,"when it comes to #cloud, #federal #it is asking the more fundamental question: not how, but rather why? [whitepaper] http://bit.ly/1mpu9x4 "
889,why the  wants to send you images of your mail.  http://bit.ly/ye9pax 
890,phased retirement clarity from . http://bit.ly/1aamknb 
891,sequestration fears return.#budget #sequester http://bit.ly/1lj2doh 
892,get the faqs on phased retirement. http://bit.ly/1linyv9 
893,no sewp for you - nasa delays awarding of multibillion sewp v it contract http://www.federaltimes.com/article/20140819/acq01/308190016/nasa-delays-award-multibillion-dollar-sewp-v-contract …
894,"even while cutting 170,000 employees, postal service workers compensation claims go up - heres why http://www.federaltimes.com/article/20140820/mgmt01/308200010/postal-service-workers-comp-costs-rise-headcount-falls …"
895,phased retirement clarity from . http://bit.ly/1bzukza 
896,get the faqs on phased retirement. http://bit.ly/1utbygg 
897,why the  wants to send you images of your mail.  http://bit.ly/1qkzzz5 
898,get the faqs on phased retirement. http://bit.ly/1rnepsb 
899,"hybrid infrastructure brings many advantages of cloud services, while mitigating #government #it risk. [whitepaper] http://bit.ly/1psivpq "
900,get the faqs on phased retirement. http://bit.ly/1sncvz2 
901,didn't attend 's #fedinnovationsummit? we have what you missed here -- http://bit.ly/1vuj7t2 
902,why the  wants to send you images of your mail.  http://bit.ly/1oqds3g 
903,get the faqs on phased retirement. http://bit.ly/1slfdvy 
904,"""our systems support every #soldier, every day, everywhere."" - doug wiltsie  [download #erp vision guide: http://bit.ly/1oossza ]"
905,get the faqs on phased retirement. http://bit.ly/1t2ceoj 
906,why the  wants to send you images of your mail.  http://bit.ly/1rcy4vj 
907,phased retirement finally a reality. http://bit.ly/1qajnjk pic.twitter.com/62pk3ajv5c
908,dod to release cloud computing pilots by september http://dlvr.it/6c1k4f 
909,report: ice faulted for freeing detainees in 2013 http://dlvr.it/6bwf0x 
910,"is the  in ""dire straits"" or is it making money? depends on who you ask ... http://www.federaltimes.com/article/20140812/mgmt05/308120013/postal-service-unions-lawmakers-odds-over-need-legislation …"
911,phased retirement finally a reality. http://bit.ly/1bedzhr pic.twitter.com/6q8m5rqgft
912,robin williams was a staple of uso tours overseas and in u.s. http://dlvr.it/6bqsvp 
913,"postal service, unions and lawmakers at odds over need for reform http://www.federaltimes.com/article/20140812/mgmt05/308120013/postal-service-unions-lawmakers-odds-over-need-legislation …    "
914,phased retirement finally a reality. http://bit.ly/y04gsx pic.twitter.com/apswwdl0hu
915,usis contracts suspended by   after hack. http://bit.ly/1sijgqv 
916,gsa: new airfares will save agencies billions http://dlvr.it/6zw8zx 
917,"lawmakers, contractors divided over executive orders http://dlvr.it/6zqbxg "
918,phased retirement finally a reality. http://bit.ly/1lomsew pic.twitter.com/jxhyrmpz7l
919,usis contracts suspended by   after hack. http://bit.ly/1olyw1h 
920,#cloud is still new #technology. the #government is not ready to take full advantage of it. [whitepaper] http://bit.ly/1kszvfi 
921,phased retirement finally a reality. http://bit.ly/1r0zgll pic.twitter.com/hkdrd8y7kh
922,. on 'eternal sunshine of bureaucratic mind' http://bit.ly/v4u2zq 
923,where's the spending data?  http://bit.ly/1oqpxpz 
924,usis contracts suspended by   after hack. http://bit.ly/1q0xm1t 
925,phased retirement finally a reality. http://bit.ly/x4wuym pic.twitter.com/fy55khsiay
926,"opm releases long-awaited phased retirement rule, work part time, get part annuity     "
927,"dhs, opm suspend contracts with usis after major cyber attack http://dlvr.it/6y1hgn "
928,. on 'eternal sunshine of bureaucratic mind' http://bit.ly/xhukof 
929,government may owe federal employees millions in shutdown damages http://www.federaltimes.com/article/20140806/mgmt03/308060016/government-may-owe-federal-employees-millions-shutdown-damages …  
930,where's the spending data?  http://bit.ly/1og3e0t 
931,. on 'eternal sunshine of bureaucratic mind' http://bit.ly/1suurs3 
932,where's the spending data?  http://bit.ly/1oqmtob 
933,federal government expected to spend $118.3 mil on public cloud solutions in fy14 -- a 32.8% increase. [whitepaper] http://bit.ly/1srzx8p 
934,"wave goodbye to , first to tweet from space, leaving  for academia. http://bit.ly/uopv45 "
935,. on 'eternal sunshine of bureaucratic mind' http://bit.ly/1zop0q8 
936,dod hashing out new civilian performance appraisal system http://dlvr.it/6wvbxz 
937,"5 federal times stories you might have missed last week , but should probably get to http://blogs.federaltimes.com/federal-times-blog/2014/08/04/5-federal-times-stories-you-might-have-missed-last-week-but-should-probably-get-to/ …"
938,"you've heard of #iaas & #saas, but perhaps the most attractive option is #paas [whitepaper] http://bit.ly/1tnajob "
939,"wave goodbye to , first to tweet from space, leaving  for academia. http://bit.ly/1nidzoc "
940,"service, infrastructure, hybrid models, performance, security & efficiency – private #paas benefits [whitepaper] http://bit.ly/1neftjo "
941,"wave goodbye to , first to tweet from space, leaving  for academia. http://bit.ly/1tg3mzx "
942,"the simple fact is, #cloud is fast becoming inevitable. [whitepaper] http://bit.ly/xpok34 "
943,congress passes va bill making it easier to fire senior execs http://dlvr.it/6v3nxw 
944,8 fun apps from federal agencies to make your summer better    http://www.federaltimes.com/apps/pbcs.dll/gallery?avis=m3&dato=20140730&kategori=photos&lopenr=307300015&ref=ph …
945,"wave goodbye to , first to tweet from space, leaving  for academia. http://bit.ly/1tc0m6p "
946,lawmakers seek more discipline for senior execs. http://bit.ly/1pk7rvo 
947,the only thing staunching custom #it applications is the money/time it takes to develop. [whitepaper] http://bit.ly/1m0pykb 
948,"wave goodbye to , first to tweet from space, leaving  for academia. http://bit.ly/1ko68zr "
949,lawmakers seek more discipline for senior execs. http://bit.ly/1k7igq2 
950,agency spending on #cloud computing to grow from $2.3 billion in fy 2013 to $6.1 billion in fy 2018. [whitepaper] http://bit.ly/1zvgwnq 
951,house passes dhs cyber bills http://dlvr.it/6sbcrq 
952,audit: va manipulated vets' appointment records http://dlvr.it/6sb81t 
953,. chief fears flood ins unsustainable. http://bit.ly/1qhyhb1 
954,lawmakers seek more discipline for senior execs. http://bit.ly/1aupncm 
955,it managers want to consolidate services & business managers want to save billions in redundant services [whitepaper] http://bit.ly/wlzqoa 
956,old post office to become new trump hotel. http://bit.ly/1rmeuva 
957,"some tsa officers could lose rank, pay. http://bit.ly/1ntnlls "
958,postal service seeks rif administrator as layoffs loom - it pays pretty good too http://www.federaltimes.com/article/20140728/mgmt02/307280009/postal-service-seeks-rif-administrator-layoffs-loom …
959,"survey: cloud savings could be huge, yet many agencies hesitate. http://bit.ly/1nshktn "
960,"house, senate appear to have deal on va care http://dlvr.it/6s46t7 "
961,"hiring way down at   and  with hits to engineers, researchers and investigators http://www.federaltimes.com/interactive/article/20140724/mgmt03/307240012/help-not-wanted-budget-cuts-push-federal-hiring-10-year-low …"
962,. chief fears flood ins unsustainable. http://bit.ly/1ruk5g5 
963,"classified material will not likely head to the #cloud, but other #military uses could fit. [whitepaper] http://bit.ly/1zlghm3 "
964,lawmakers seek more discipline for senior execs. http://bit.ly/1k3vcc6 
965,why the budget paralysis?  blogger james windle has ideas. http://bit.ly/1nn63gj 
966,success at it modernization: how do you define it?  has some ideas. http://bit.ly/1nn419d 
967,old post office to become new trump hotel. http://bit.ly/1amy0ni 
968,vendors that support hybrid models will be the most successful because they they provide flexibility. [whitepaper] http://bit.ly/1tcziuw 
969,why the budget paralysis?  blogger james windle has ideas. http://bit.ly/1o3juhy 
970,. chief fears flood ins unsustainable. http://bit.ly/1nicsfy 
971,"some tsa officers could lose rank, pay. http://bit.ly/1zge35e "
972,lawmakers seek more discipline for senior execs. http://bit.ly/1kgkl83 
973,why the budget paralysis?  blogger james windle has ideas. http://bit.ly/1lf2xrc 
974,under fire: lawmakers target senior executives http://dlvr.it/6qpzn8 
975,"some tsa officers could lose rank, pay. http://bit.ly/1psma2m "
976,"survey: cloud savings could be huge, yet many agencies hesitate. http://bit.ly/1pskh5h "
977,federal hiring is way way down. which careers are suffering the most? and where is the growth http://www.federaltimes.com/interactive/article/20140724/mgmt03/307240012/help-not-wanted-budget-cuts-push-federal-hiring-10-year-low …pic.twitter.com/ubgsfo4449
978,. chief fears flood ins unsustainable. http://bit.ly/1kf0cch 
979,#it is becoming central to business – even in industries not historically thought of as dependent on it [whitepaper] http://bit.ly/1lcq5bz 
980,old post office to become new trump hotel. http://bit.ly/1pjgbih 
981,success at it modernization: how do you define it?  has some ideas. http://bit.ly/1kzrong 
982,why the budget paralysis?  blogger james windle has ideas. http://bit.ly/1kzgffg 
983,house gives irs biggest (proposed) budget cut so far. http://bit.ly/1lazd5i 
984,help not wanted: budget cuts push federal hiring to 10-year low http://www.federaltimes.com/article/20140724/mgmt03/307240012/help-not-wanted-budget-cuts-push-federal-hiring-10-year-low …   
985,documents detail va mistreatment of vets http://dlvr.it/6q842c 
986,"gates names culture, procurement as modernization's enemies at innovationsummit. #nutanix. http://bit.ly/1peabfp "
987,"some tsa officers could lose rank, pay. http://bit.ly/1x5rmca "
988,"survey: cloud savings could be huge, yet many agencies hesitate. http://bit.ly/1pkkc3x "
989,success at it modernization: how do you define it?  has some ideas. http://bit.ly/1ngbf5z 
990,. and  want answers from dhs on usis contract. http://bit.ly/uthi9a 
991,house passes bill to demote some tsa officers http://dlvr.it/6pj1rb 
992,"worldwide, the average #it development time for a mobile #app is 3 months [whitepaper] http://bit.ly/1qaeq0f "
993,senate proposes big  it cut. http://bit.ly/1rpkjfb 
994,"gates names culture, procurement as modernization's enemies at innovationsummit. #nutanix. http://bit.ly/1kajnua "
995,straight from the #fedinnovationsummit .. gates: agencies must break bad habits to modernize it systems http://www.federaltimes.com/article/20140722/fedit03/307220014/gates-agencies-must-break-bad-habits-modernize-systems …
996,success at it modernization: how do you define it?  has some ideas. http://bit.ly/1kaepqz 
997,"doug hazelman  from veam: private cloud is nod to the ""always on"" business. tolerance for downtime nonexistent #fedinnovationsummit"
998,"what are the keys to good virtual desktop infrastructure? good value, creating efficiency and ease of use and access #fedinnovationsummit"
999,. and  want answers from dhs on usis contract. http://bit.ly/1ro3ckf 
1000,ex sec def robert gates: engage career feds on it reform or they will wait you out #government #it #nutanix  #fedinnovationsummit
1001,ex sec def robert gates: declining budgetes a driver for finding it savings and revamping agency it #fedinnovationsummit 
1002,ex secdef robert gates:  has gotten it modernization right -way out in front on mobile payments #nutanix #fedinnovationsummit
1003,ex secdef gates: new thinking and innovative technology required to achieve savings omb thinks is possible in the it realm. #nutanix
1004,ex sec def robert gates: declining budgetes a driver for finding it savings and revamping agency it #government #it #nutanix 
1005,live tweeting all day from the federal innovation summit in dc
1006,ex sec def robert gates: engage career feds on it reform or they will wait you out #government #it #nutanix 
1007,tomorrow is 's federal innovation summit regarding key tech initiatives that transform #government #it http://bit.ly/1retvel 
1008,chilling new details emerge on #smallpox handling. http://bit.ly/1u7rb8l 
1009,house gives irs biggest (proposed) budget cut so far. http://bit.ly/1rdhilp 
1010,senate proposes big  it cut. http://bit.ly/1llqzjv 
1011,today is the last day to register for 's federal innovation summit tomorrow from 7-2pm! http://bit.ly/1n4aoda 
1012,. and  want answers from dhs on usis contract. http://bit.ly/1p7fghi 
1013,network with executive decision-makers in charge of enabling key tech initiatives that transform #government #it http://bit.ly/1rc562s 
1014,"gov/mil: attend tuesday's free #fedinnovationsummit event to hear experts speak on #vdi, #cloud and #disasterrecovery http://bit.ly/1rbij29 "
1015,. and  want answers from dhs on usis contract. http://bit.ly/uibdbn 
1016,"if the senate approves #fitara, are you ready? attend the #fedinnovationsummit on 7/22 to learn how to comply. http://bit.ly/1wjq6vm "
1017,"simplifying the #cloud- how agencies tackle the adoption, acquisition, management, security & use of private cloud. http://bit.ly/uhyeez "
1018,chilling new details emerge on #smallpox handling. http://bit.ly/ugvlbi 
1019,house gives irs biggest (proposed) budget cut so far. http://bit.ly/wnrdbk 
1020,how virtualization changes acquisition. http://bit.ly/1n2fr6t 
1021,lawmaker wants war funding in dod base budget.  http://bit.ly/1lclxc5 
1022,tuesday july 22  is hosting their #federal innovation summit: modernizing virtualized #data centers http://bit.ly/1zqvz2w 
1023,. cloud storage contract gets a setback. http://bit.ly/1rwwwh1 
1024,"find out why  is a good example of mobility advance, from . http://bit.ly/1lbqzas "
1025,disa closes alabama computing center. http://bit.ly/1r8xnp8 
1026,senate proposes big  it cut. http://bit.ly/1jwbme4 
1027,chilling new details emerge on #smallpox handling. http://bit.ly/1zoemp4 
1028,. picks winners for $7b contract. http://bit.ly/1msarsu 
1029,how virtualization changes acquisition. http://bit.ly/1jcngkx 
1030,cloud disaster recovery - hear more from   at the fed innovation summit 7/22 [register: http://bit.ly/1t9cttm  ]
1031,"do vdi solutions provide more mobility, manageability, security & productivity? 's thomas sasala to speak http://bit.ly/1zmmzp7 "
1032,. cloud storage contract gets a setback. http://bit.ly/1kyvzuk 
1033,lawmaker wants war funding in dod base budget.  http://bit.ly/ubw3t0 
1034,"find out why  is a good example of mobility advance, from . http://bit.ly/1nklwqq "
1035,disa closes alabama computing center. http://bit.ly/1nxslya 
1036,dod urged to put war money in base budget http://dlvr.it/6lyd33 
1037,are you on vacation? or are you awol? you might be coming home to a surprise.  http://bit.ly/1l4f6ru 
1038,former  secretary dr. robert gates will speak upon modernizing interagency cooperation @ 2014 summit http://bit.ly/1wvxk0o 
1039,join  steve watkins moderating the #federal challenges of #computing @ the 2014 federal innovation summit http://bit.ly/wb60bz 
1040,. picks winners for $7b contract. http://bit.ly/w9wyez 
1041,how virtualization changes acquisition. http://bit.ly/w9szzc 
1042,"house passes bills to change tsp default fund, extend whistleblower protections http://dlvr.it/6l6sxg "
1043,. cloud storage contract gets a setback. http://bit.ly/1ofw4cd 
1044,"find out why  is a good example of mobility advance, from . http://bit.ly/1of6tjl "
1045,final countdown: 's 2014 federal innovation summit is 1 week away! have you registered? http://bit.ly/tsljbwin?sf27713138=1 …
1046,are you on vacation? or are you awol? you might be coming home to a surprise.  http://bit.ly/1mre4mg 
1047,how will vdi solutions optimize/transform #government #it operations? 's  to share insight http://bit.ly/u6xuz5 
1048,proposed gsa construction budget shrinks in 2015 http://dlvr.it/6kbqfl 
1049,"more than half of federal gs employees are now in higher grades, first time ever http://www.federaltimes.com/article/20140714/mgmt01/307140004/pay-freezes-accelerate-gs-grade-creep …"
1050,modernizing virtual data centers --  from  to share his expertise @ the federal innovation summit http://bit.ly/u9edaj 
1051,she pressured her employees to hire her relative's boyfriend and the ig issued a scathing takedown http://www.federaltimes.com/article/20140711/mgmt02/307110022/patent-ig-alleges-high-level-nepotism-attempt …
1052,billions of dollars in cuts later government travel spending finally hits a plateau  http://www.federaltimes.com/article/20140711/acq04/307110020/government-travel-spending-plateaus-after-years-cuts …pic.twitter.com/aruqzyimii
1053,protecting #data and applications in the #cloud- learn cyber attack signs & how to design/implement a recovery plan http://bit.ly/1wl9o4z 
1054,nominate here! http://fedtim.es/8jt1dr 
1055,vanguard awards to honor big thinkers in acquisition and technology http://fedtim.es/8jsfpm 
1056,meet the judges http://fedtim.es/8jsezg 
1057,honoring the innovators and pioneers http://fedtim.es/8jrjaa 
1058,free download: making technology accessible to the disabled http://fedtim.es/8jrebs 
1059,veterans’ preference protections do not extend to disciplinary actions http://fedtim.es/8jrrr5 
1060,initial meeting lays out how commission will enhance cybersecurity http://fedtim.es/8jrdvr 
1061,undersecretary spaulding on why nppd needs a new name http://fedtim.es/8jr40r 
1062,fbi taps rand fellow as new cio http://fedtim.es/8jqymi 
1063,dod's civilian hiring freeze: deja vu all over again http://fedtim.es/8jpjri 
1064,dod's civilian hiring freeze: déjà vu all over again http://fedtim.es/3dyqbr 
1065,dod's civilian hiring freeze: déjà vu all over again  http://ow.ly/10fnps 
1066,oig: 2-year-old ehr fraud recommendations not in place http://fedtim.es/3dygmk 
1067,3 cyberstalkers sentenced for role in double-murder http://fedtim.es/3dy0jr 
1068,program view: what agencies are saying about fedramp http://fedtim.es/3dw30r 
1069,appropriators back funding boost for va next year -- if they can pass a budget http://fedtim.es/3dvw64 
1070,former fed gets 18 months for spear-phishing colleagues http://fedtim.es/3dvfah 
1071,report finds $800m embassy buildings could electrocute personnel http://fedtim.es/3dtkjh 
1072,the virtues of phishing your own employees http://fedtim.es/3dtxle 
1073,cobert touts opm’s data plans for diversity http://fedtim.es/3dtpjd 
1074,"casey coleman,  vp & former  cio, says federal #cybersecurity is off to a strong start in 2016: http://fedtimes.ly/1n6jepk "
1075,gsa needs input on cybersecurity services contract vehicle http://fedtim.es/3dspvp 
1076,the pentagon's departing personnel chief says his controversial reforms will last http://fedtim.es/3dsftb 
1077,navy awards energy efficiency contract for $114m in savings http://fedtim.es/3dr8ip 
1078,"fdic employee left job with 44,000 records http://fedtim.es/3dqumg "
1079,an  employee reportedly took tens of thousands of banking records when she resigned in february. http://fedtimes.ly/1s5f45n 
1080,study says senate-confirmed appointees can hamstring oigs http://fedtim.es/3dqe1a 
1081,combating hackers http://fedtim.es/3dqw25 
1082,"the notion that proper investment leads to smaller, yet impactful product applies in many contexts. http://fedtimes.ly/1mzs0iv  "
1083,why 'hack the pentagon' is a good idea http://fedtim.es/3dqmkc 
1084,invest more to get a smaller government http://fedtim.es/3dpunn 
1085,hoyer to propose information technology modernization fund http://fedtim.es/3dlqws 
1086,dhs is teaching specops veterans to catch child predators http://fedtim.es/3dldmn 
1087,dhs is teaching these specops veterans catch child predators http://fedtim.es/3dl7ec 
1088,dha awards $139m contract for interoperability messaging http://fedtim.es/3dkytf 
1089,senator: how is omb helping agencies buy cybersecurity tools? http://fedtim.es/3dkqst 
1090,internet of things: when cyberattacks have physical effects http://fedtim.es/3dkiam 
1091,clapper turns transparency working group into permanent council http://fedtim.es/3disky 
1092,new ‘conflicts of interest’ rule for retirement draws praise from narfe http://fedtim.es/3dieks 
1093,what is government's role in internet of things economy? http://fedtim.es/3divlm 
1094,dni clapper makes push for intel community transparency permanent http://fedtim.es/3diok8 
1095,dod to roll out 'new beginnings' performance appraisal system http://fedtim.es/3dhzon 
1096,"veterans omnibus moves ahead, despite brewing fight http://fedtim.es/3dgoyz "
1097,gsa 'making it easier' for vendors on it schedule 70 http://fedtim.es/3dghoc 
1098,next white house should create an enterprise government http://fedtim.es/3dgb4f 
1099,rfp coming for second gen veteran it gwac http://fedtim.es/3dg10n 
1100,carter unveils goldwater nichols reform http://fedtim.es/3dfbd5 
1101,cybercom head reignites combatant command discussion http://fedtim.es/3de18s 
1102,4 issues the government needs to tackle to ensure accountability http://fedtim.es/3dduxy 
1103,"gpo exec leaves behind legacy of modernization, accessibility http://fedtim.es/3ddzq6 "
1104,nist outlines process for creating strong encryption standards http://fedtim.es/3ddp9f 
1105,the pentagon doesn't know who’s in charge for responding to a massive cyber attack http://fedtim.es/3dbiju 
1106,romanian hacker who outed clinton email server appears in us court http://fedtim.es/3dbac9 
1107,new army program shifting cyber operations http://fedtim.es/3db2jm 
1108,communication is the key to a smooth it transition. acceptance can’t be an afterthought [wp http://bit.ly/itconsolidation ]pic.twitter.com/tmzmyts5jj
1109,dhs seeks vendors to support nextgen cybersecurity operations center http://fedtim.es/3dackl 
1110,afge taps budget committee director for legislative chief http://fedtim.es/3dasds 
1111,discussing serial: the complete series http://fedtim.es/3d5t7v 
1112,guard could expand industrial protection units http://fedtim.es/3d5nmd 
1113,ice searching for romanian running fake cia badges ring http://fedtim.es/3d5h1h 
1114,"rubio, miller ask committee to back va accountability bills http://fedtim.es/3d5bz3 "
1115,empowering government with a strong it foundation http://fedtim.es/3d5li5 
1116,it infrastructure consolidation promises to trim costs & streamline operations [whitepaper http://bit.ly/itconsolidation ]pic.twitter.com/qin98mdzux
1117,discussing serial: the bergdahl blame game http://fedtim.es/3d56xs 
1118,the #pentagon wants to pay you to #hack its public websites: http://defnews.ly/1meuaen 
1119,"the way #gsa handles its identity badges puts federal buildings at risk, according to two #ig reports. http://fedtimes.ly/1mwnwzx "
1120,"gsa id badges a security risk, ig says http://fedtim.es/3d3bxu "
1121,voice biometrics enables the post-password era http://fedtim.es/3d2ma2 
1122,cobert says fehb will offer autism coverage in 2017 http://fedtim.es/3d2dnm 
1123,new pentagon personnel chief tapped http://fedtim.es/3d2vbt 
1124,gao: access issues continue to hamper irs cybersecurity http://fedtim.es/3d2f9d 
1125,"border patrol union defies afge, endorses trump http://fedtim.es/3d0oz9 "
1126,navy nco gets 24 months for afghan bribes http://fedtim.es/3d0qnu 
1127,obama: cyberattacks continue to be national emergency http://fedtim.es/3d09xc 
1128,"the next president must start national security planning now, a top expert warns http://fedtim.es/3d013t "
1129,omb tackles mobile devices in latest procurement mandate http://fedtim.es/3cy70p 
1130,gao says financial regulatory structure needs untangling http://fedtim.es/3cxzwl 
1131,"the #vietnamwar brought the horrors of the front line to american living rooms, delivered by foreign correspondents. http://fedtimes.ly/1hzdozh "
1132,gao says financial regulatory structure should be untangled http://fedtim.es/3cxqwn 
1133,how to modernize federal it by putting citizens first http://fedtim.es/3cxi68 
1134,public employee unions dodge a supreme court bullet in tie vote http://fedtim.es/3cxzoq 
1135,"virtualization, cloud, & other data center techniques are just the tip of the iceberg [wp http://bit.ly/itconsolidation ]pic.twitter.com/xs9jhwbs5k"
1136,lockdown lifted at u.s. capitol; suspect in custody http://fedtim.es/3cvkcd 
1137,lockdown lifted at u.s. capitol; shooter reported in custody http://fedtim.es/3cvec6 
1138,opm asks agencies to allow telework for nuclear summit http://fedtim.es/3cvncv 
1139,"navy official gets 46 months for bribes, prostitutes http://fedtim.es/3cuxft "
1140,bureau of prisons wants solutions for blocking illegal cellphone use http://fedtim.es/3cuey2 
1141,it management best practices when transitioning to coco http://bit.ly/wp_coco pic.twitter.com/crcmybzwb2
1142,33% of it leaders have infrastructure consolidation projects on the books [whitepaper http://bit.ly/itconsolidation ]pic.twitter.com/ttt85gxxh9
1143,federal times under new ownership http://fedtim.es/3cqlm7 
1144,bureau of prisons wants solutions for blocking illegal cell phone use http://fedtim.es/3cq3xj 
1145,it technology best practices when transitioning to coco http://bit.ly/wp_coco pic.twitter.com/mgcjg2uacs
1146,defining privacy protection by acknowledging what it's not http://fedtim.es/3cpvlx 
